National Center for Education Statistics
"Number of students enrolled in postsecondary institutions annually, by state and  student level: 2020-21"

Year,State,Total,Undergraduate,Graduate
2021,Total,"25,349,502","21,361,807","3,987,695"
2021,Alabama,"375,806","306,241","69,565"
2021,Alaska,"35,858","33,224","2,634"
2021,Arizona,"903,151","739,891","163,260"
2021,Arkansas,"188,672","160,454","28,218"
2021,California,"3,572,593","3,194,600","377,993"
2021,Colorado,"489,149","407,840","81,309"
2021,Connecticut,"254,190","209,571","44,619"
2021,Delaware,"77,317","63,376","13,941"
2021,District of Columbia,"115,364","61,563","53,801"
2021,Florida,"1,471,225","1,304,575","166,650"
2021,Georgia,"691,652","581,868","109,784"
2021,Hawaii,"79,806","72,312","7,494"
2021,Idaho,"179,184","166,958","12,226"
2021,Illinois,"954,463","757,480","196,983"
2021,Indiana,"578,800","489,752","89,048"
2021,Iowa,"264,030","229,148","34,882"
2021,Kansas,"267,259","228,774","38,485"
2021,Kentucky,"322,546","250,762","71,784"
2021,Louisiana,"311,550","263,633","47,917"
2021,Maine,"91,289","78,309","12,980"
2021,Maryland,"464,370","371,517","92,853"
2021,Massachusetts,"600,613","414,807","185,806"
2021,Michigan,"624,859","535,480","89,379"
2021,Minnesota,"537,370","375,321","162,049"
2021,Mississippi,"214,450","184,270","30,180"
2021,Missouri,"436,076","342,606","93,470"
2021,Montana,"57,657","50,349","7,308"
2021,Nebraska,"174,965","141,420","33,545"
2021,Nevada,"153,754","139,210","14,544"
2021,New Hampshire,"271,994","223,742","48,252"
2021,New Jersey,"529,333","451,126","78,207"
2021,New Mexico,"148,097","131,557","16,540"
2021,New York,"1,503,860","1,211,068","292,792"
2021,North Carolina,"697,096","604,514","92,582"
2021,North Dakota,"63,392","53,019","10,373"
2021,Ohio,"881,172","774,431","106,741"
2021,Oklahoma,"262,978","229,466","33,512"
2021,Oregon,"289,147","252,886","36,261"
2021,Pennsylvania,"827,974","648,015","179,959"
2021,Rhode Island,"92,948","79,479","13,469"
2021,South Carolina,"292,734","253,402","39,332"
2021,South Dakota,"67,050","56,610","10,440"
2021,Tennessee,"409,437","347,447","61,990"
2021,Texas,"2,129,200","1,879,835","249,365"
2021,Utah,"527,429","439,330","88,099"
2021,Vermont,"53,942","43,966","9,976"
2021,Virginia,"716,428","563,148","153,280"
2021,Washington,"449,956","403,495","46,461"
2021,West Virginia,"206,587","170,332","36,255"
2021,Wisconsin,"400,838","352,616","48,222"
2021,Wyoming,"39,892","37,012","2,880"
2020,Total,"26,091,786","22,201,771","3,890,015"
2020,Alabama,"386,560","321,209","65,351"
2020,Alaska,"38,825","36,116","2,709"
2020,Arizona,"914,287","758,936","155,351"
2020,Arkansas,"198,988","171,488","27,500"
2020,California,"3,711,960","3,341,132","370,828"
2020,Colorado,"517,784","430,696","87,088"
2020,Connecticut,"260,162","215,400","44,762"
2020,Delaware,"77,411","63,169","14,242"
2020,District of Columbia,"118,241","64,165","54,076"
2020,Florida,"1,494,060","1,336,619","157,441"
2020,Georgia,"703,997","600,553","103,444"
2020,Hawaii,"80,216","72,592","7,624"
2020,Idaho,"182,559","169,524","13,035"
2020,Illinois,"1,025,734","833,944","191,790"
2020,Indiana,"588,296","501,269","87,027"
2020,Iowa,"277,207","241,842","35,365"
2020,Kansas,"282,526","244,791","37,735"
2020,Kentucky,"337,647","267,772","69,875"
2020,Louisiana,"312,446","268,893","43,553"
2020,Maine,"94,435","81,904","12,531"
2020,Maryland,"472,737","382,443","90,294"
2020,Massachusetts,"622,415","439,446","182,969"
2020,Michigan,"664,986","572,292","92,694"
2020,Minnesota,"548,607","386,163","162,444"
2020,Mississippi,"215,608","189,601","26,007"
2020,Missouri,"456,080","361,326","94,754"
2020,Montana,"61,068","53,803","7,265"
2020,Nebraska,"176,257","142,948","33,309"
2020,Nevada,"157,572","142,994","14,578"
2020,New Hampshire,"245,628","201,028","44,600"
2020,New Jersey,"542,231","466,525","75,706"
2020,New Mexico,"163,246","146,751","16,495"
2020,New York,"1,569,821","1,277,392","292,429"
2020,North Carolina,"718,600","629,803","88,797"
2020,North Dakota,"65,012","55,241","9,771"
2020,Ohio,"865,664","758,199","107,465"
2020,Oklahoma,"267,502","235,721","31,781"
2020,Oregon,"308,200","272,676","35,524"
2020,Pennsylvania,"859,129","679,714","179,415"
2020,Rhode Island,"96,985","83,633","13,352"
2020,South Carolina,"298,279","260,442","37,837"
2020,South Dakota,"68,911","58,343","10,568"
2020,Tennessee,"418,227","358,765","59,462"
2020,Texas,"2,181,046","1,941,677","239,369"
2020,Utah,"515,868","438,183","77,685"
2020,Vermont,"55,709","46,013","9,696"
2020,Virginia,"721,892","575,911","145,981"
2020,Washington,"485,432","441,058","44,374"
2020,West Virginia,"208,327","173,958","34,369"
2020,Wisconsin,"415,690","368,772","46,918"
2020,Wyoming,"41,716","38,936","2,780"
2019,Total,"26,322,620","22,431,124","3,891,496"
2019,Alabama,"393,813","328,721","65,092"
2019,Alaska,"42,020","39,056","2,964"
2019,Arizona,"882,235","728,918","153,317"
2019,Arkansas,"203,542","175,440","28,102"
2019,California,"3,751,936","3,380,229","371,707"
2019,Colorado,"506,527","422,526","84,001"
2019,Connecticut,"260,917","216,209","44,708"
2019,Delaware,"76,119","61,923","14,196"
2019,District of Columbia,"117,717","62,598","55,119"
2019,Florida,"1,506,865","1,349,307","157,558"
2019,Georgia,"697,198","596,498","100,700"
2019,Hawaii,"80,072","72,474","7,598"
2019,Idaho,"189,935","176,992","12,943"
2019,Illinois,"1,057,795","864,192","193,603"
2019,Indiana,"590,093","503,669","86,424"
2019,Iowa,"285,583","249,420","36,163"
2019,Kansas,"289,763","250,870","38,893"
2019,Kentucky,"332,156","267,118","65,038"
2019,Louisiana,"311,370","269,650","41,720"
2019,Maine,"93,842","81,191","12,651"
2019,Maryland,"480,327","388,172","92,155"
2019,Massachusetts,"630,120","445,569","184,551"
2019,Michigan,"687,978","591,459","96,519"
2019,Minnesota,"554,998","389,206","165,792"
2019,Mississippi,"216,502","190,361","26,141"
2019,Missouri,"475,053","377,884","97,169"
2019,Montana,"62,289","55,239","7,050"
2019,Nebraska,"175,194","142,137","33,057"
2019,Nevada,"158,657","144,346","14,311"
2019,New Hampshire,"232,247","185,028","47,219"
2019,New Jersey,"555,159","477,281","77,878"
2019,New Mexico,"169,137","151,539","17,598"
2019,New York,"1,596,924","1,304,986","291,938"
2019,North Carolina,"709,602","621,831","87,771"
2019,North Dakota,"65,628","56,132","9,496"
2019,Ohio,"860,200","748,151","112,049"
2019,Oklahoma,"276,067","245,055","31,012"
2019,Oregon,"332,157","289,401","42,756"
2019,Pennsylvania,"868,843","688,339","180,504"
2019,Rhode Island,"97,502","83,930","13,572"
2019,South Carolina,"299,715","262,288","37,427"
2019,South Dakota,"72,127","60,800","11,327"
2019,Tennessee,"416,392","358,001","58,391"
