National Center for Education Statistics
"Number of full-time, first-time students receiving financial aid, by state and  type of aid: 2019-20"

Year,State,Any financial aid,"Grants or scholarships from the federal government, state/local government, or the institution",Federal grants,Pell grants,Other federal grants,State/local government grants or scholarships ,Institutional grants or scholarships ,Loans to students,Federal loans,Other loans
2020,Alabama,"39,018","36,648","23,058","18,871","12,579","3,441","25,261","17,684","17,082","2,122"
2020,Alaska,"1,954","1,685","1,231",893,851,964,652,723,691,74
2020,Arizona,"50,323","48,052","32,639","25,849","20,120","1,909","33,355","24,463","23,970","2,531"
2020,Arkansas,"23,625","23,037","17,548","12,619","10,198","11,233","13,072","11,384","11,208",950
2020,California,"254,634","241,872","166,802","151,795","78,052","163,663","94,572","85,794","83,964","12,091"
2020,Colorado,"37,445","33,523","22,005","18,164","10,089","9,918","20,911","21,010","20,415","2,315"
2020,Connecticut,"26,670","25,194","18,076","12,772","13,868","2,474","18,346","15,996","15,748","2,520"
2020,Delaware,"7,592","7,210","3,105","2,910",871,"2,162","4,554","4,277","4,213",692
2020,District of Columbia,"8,390","7,551","3,365","3,003","1,319",336,"6,663","4,887","4,748",556
2020,Florida,"142,669","136,336","98,285","87,747","45,917","59,493","60,927","65,754","64,524","7,100"
2020,Georgia,"69,573","67,087","43,947","35,647","29,538","41,096","18,893","34,417","33,830","3,737"
2020,Hawaii,"5,130","4,735","3,154","2,626","1,717",757,"3,360","1,731","1,680",220
2020,Idaho,"11,782","10,571","7,243","5,130","5,271","2,026","7,464","5,847","5,755",382
2020,Illinois,"69,759","66,125","46,211","36,125","29,912","28,662","46,424","32,929","32,397","4,039"
2020,Indiana,"49,489","44,081","26,752","21,077","17,784","16,501","32,488","26,304","25,728","4,318"
2020,Iowa,"28,427","26,118","14,115","10,549","9,505","4,261","21,138","16,976","16,692","3,615"
2020,Kansas,"24,665","23,000","13,345","11,042","8,210","3,234","17,564","12,803","12,608","1,133"
2020,Kentucky,"33,697","33,010","19,122","16,315","10,048","24,337","21,426","16,331","16,042","2,015"
2020,Louisiana,"40,123","38,425","32,242","22,786","19,326","20,082","18,025","22,322","21,930","1,694"
2020,Maine,"9,612","9,038","6,678","4,339","5,065","3,101","7,676","6,141","6,041","1,263"
2020,Maryland,"30,636","27,076","17,558","14,742","10,982","7,704","17,507","15,157","14,755","1,694"
2020,Massachusetts,"55,498","51,132","27,622","20,266","20,050","16,452","43,260","33,922","32,976","7,468"
2020,Michigan,"59,854","54,018","33,831","26,776","20,326","12,244","41,052","32,725","32,064","5,194"
2020,Minnesota,"35,844","33,351","23,587","13,646","20,149","15,172","20,820","19,682","19,269","5,216"
2020,Mississippi,"28,471","27,623","20,352","17,480","9,753","8,454","16,734","11,638","11,407","1,191"
2020,Missouri,"42,950","41,417","26,673","18,918","18,950","18,645","26,959","20,593","20,216","2,695"
2020,Montana,"6,789","6,261","3,916","2,471","2,859",409,"5,326","3,406","3,362",261
2020,Nebraska,"15,413","13,996","7,665","5,781","5,425","3,234","11,972","8,257","8,119","1,106"
