National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2020,Total,"$415,613,887","$80,031,338","$31,582,539","$9,644,240","$15,110,021","$24,952,423","$54,862,962","$1,911,140","$23,792,773","$2,129,512","$76,230,760","$14,953,126","$26,441,343","$6,465,573","$470,609","$9,292,496","$11,019,875","$7,570,024","$5,987,992","$4,081,185","$1,178,753","$7,905,203"
2020,Alabama,"$9,320,441","$2,056,834","$870,544","$148,487","$131,086","$485,223","$2,664,265",$0,"$374,229","$74,669","$1,596,811","$2,367","$465,510","$2,826",$0,"$136,634","$96,993","$50,666","$1,557","$101,846","$50,334","$9,559"
2020,Alaska,"$764,138","$124,811","$133,556","$15,466","$48,933","$26,862",$0,$0,"$21,209",$0,"$314,974","$12,748","$29,426",$628,$0,$731,"$14,314","$4,752","$9,961","$2,901",$0,"$2,865"
2020,Arizona,"$7,725,142","$2,650,150","$632,715","$19,499","$283,545","$427,739",$0,$0,"$200,428","$13,581","$833,407","$942,716","$718,771","$68,298","$38,268","$199,427","$87,483","$386,822","$78,930","$116,499","$2,873","$23,989"
2020,Arkansas,"$4,567,110","$629,978","$269,289","$114,178","$64,965","$310,983","$1,215,037",$0,"$415,856",$461,"$816,794","$38,021","$279,706","$91,200","$6,758","$118,405","$37,709","$56,596","$9,885","$80,519","$2,043","$8,727"
2020,California,"$70,581,207","$8,375,360","$4,184,251","$2,258,273","$2,163,604","$2,039,746","$14,169,526",$0,"$6,835,322","$43,631","$12,664,262","$4,487,975","$4,480,265","$1,693,047","$137,929","$1,635,397","$727,695","$2,183,129","$472,051","$340,522","$35,180","$1,654,044"
2020,Colorado,"$9,872,358","$2,596,402","$1,222,033","$645,872","$269,270","$619,900","$1,330,360",$0,"$902,018","$612,995","$64,202","$140,318","$371,585","$17,414",$700,"$318,399","$246,465","$105,280","$107,525","$65,575","$11,132","$224,913"
2020,Connecticut,"$3,917,895","$842,454","$202,662","$52,782","$47,307","$258,367","$463,369","$125,992","$125,386","$65,859","$1,237,480",$0,"$208,622","$13,226",$58,"$35,236","$13,550","$118,469","$77,790","$2,276",$187,"$26,824"
2020,Delaware,"$387,045","$88,336","$31,802","$18,060",$0,"$21,701",$0,$0,"$3,384",$0,"$130,058",$0,"$52,748",$581,"$9,634",$0,$244,"$1,377","$27,833",$0,$0,"$1,287"
2020,District of Columbia,"$215,736","$28,881","$13,331",$0,"$5,521",$412,$0,$0,"$4,568",$0,"$89,123",$0,"$7,786",$0,$0,"$1,383","$4,230",$0,"$60,500",$0,$0,$0
2020,Florida,"$14,460,494","$2,469,725","$1,243,253","$208,874","$1,262,751","$852,019",$0,"$7,918","$186,711","$2,580","$4,547,391","$40,854","$1,626,131","$781,727","$33,690","$395,500","$221,525","$232,243","$195,546","$151,767",$566,$-277
2020,Georgia,"$9,887,166","$2,396,571","$1,181,983","$116,290","$613,296","$776,127","$253,274",$0,"$322,402","$6,506","$2,683,808",$0,"$1,078,529","$27,100","$16,400","$132,266","$54,681","$10,240","$4,639","$180,496",$964,"$31,594"
2020,Hawaii,"$1,972,307","$263,509","$306,267","$45,206","$47,731","$84,581",$0,"$25,967","$9,157",$0,"$512,608",$0,"$53,869","$313,203",$0,"$3,873","$17,741","$53,416","$204,095","$6,872",$0,"$24,213"
2020,Idaho,"$1,487,480","$401,485","$138,512","$35,977","$14,942","$97,615",$0,$0,"$47,598","$4,390","$456,279","$35,744","$106,233","$2,578",$0,"$71,361","$12,938","$12,469","$11,437","$26,860",$0,"$11,063"
2020,Illinois,"$13,233,605","$2,464,310","$852,022","$227,189","$179,691","$737,401","$876,744","$10,546","$918,687","$16,092","$1,748,182","$1,172,835","$795,912","$800,157","$21,391","$259,276","$220,753","$1,885,657","$14,527","$21,216","$2,412","$8,606"
2020,Indiana,"$8,247,537","$2,847,684","$702,441","$63,507","$343,880","$665,670",$0,$0,"$562,582","$18,861","$1,603,649","$9,509","$503,493","$99,330",$0,"$251,333","$224,250","$38,674","$63,992","$206,348","$39,815","$2,520"
2020,Iowa,"$6,624,013","$1,052,969","$525,025","$61,221","$95,902","$538,823","$2,303,441","$45,999","$345,326",$0,"$844,790","$159,554","$210,504","$9,329",$0,"$186,273","$140,848","$21,086","$39,157","$40,557",$0,"$3,210"
2020,Kansas,"$4,086,931","$980,935","$411,738","$83,743","$125,520","$423,451",$0,$0,"$338,024","$19,448","$822,493","$329,559","$237,044","$6,009","$2,559","$111,203","$13,658","$25,663","$61,843","$56,211",$243,"$37,587"
2020,Kentucky,"$7,074,572","$1,119,285","$490,844","$190,441","$67,324","$391,667","$2,463,258",$0,"$479,691",$0,"$862,941","$27,915","$344,037","$184,505","$4,774","$97,813","$49,051","$35,938","$23,976","$41,841","$15,487","$183,785"
2020,Louisiana,"$4,846,333","$1,256,750","$325,265","$145,916","$824,062","$416,503",$934,$0,"$145,996",$0,"$883,966",$0,"$504,255","$4,531",$0,"$91,656","$64,410","$63,340","$42,495","$60,138","$8,392","$7,724"
2020,Maine,"$941,274","$238,589","$70,330","$30,208","$29,645","$67,533",$0,$0,"$47,951","$1,559","$291,561",$0,"$82,200",$0,$0,"$22,772","$11,518","$13,373","$20,228","$5,827","$2,162","$5,819"
2020,Maryland,"$8,138,562","$1,776,819","$851,488","$225,275","$261,828","$644,846",$0,$650,"$414,170","$460,429","$1,948,979","$448,190","$405,732","$11,882","$4,656","$84,039","$94,377","$104,300","$362,078","$26,583","$2,569","$9,674"
2020,Massachusetts,"$5,692,721","$1,539,068","$414,829","$181,011","$155,589","$510,530",$0,"$63,958","$573,251","$12,737","$1,602,420",$530,"$340,110","$12,015",$0,"$54,170","$69,435","$7,162","$140,338","$12,685",$28,"$2,855"
2020,Michigan,"$17,981,595","$4,544,974","$1,637,128","$96,232","$491,473","$1,131,939","$4,767,872",$0,"$632,629","$13,068","$1,696,282","$620,356","$794,704","$26,334",$0,"$355,233","$618,089","$199,117","$66,104","$70,167","$212,311","$7,584"
2020,Minnesota,"$5,966,825","$1,392,863","$482,137","$71,530","$435,472","$609,211",$0,$0,"$179,918","$19,370","$1,457,045",$0,"$416,280","$223,129","$99,188","$222,553","$106,818","$11,668","$161,723","$28,075","$2,398","$47,446"
2020,Mississippi,"$4,954,024","$768,778","$451,798","$123,443","$89,659","$343,148","$1,197,526",$354,"$186,217","$39,449","$946,216","$75,779","$362,950","$29,922",$25,"$74,789","$20,811","$58,943","$134,344","$29,475",$271,"$20,124"
2020,Missouri,"$5,540,494","$1,110,394","$249,324","$130,464","$114,783","$803,925","$1,083,440",$0,"$183,258","$32,764","$799,286","$178,932","$425,887","$16,027","$1,292","$102,908","$75,073","$78,654","$12,235","$51,994","$87,486","$2,368"
2020,Montana,"$1,162,300","$314,857","$199,492","$14,906","$29,593","$91,515",$0,$0,"$97,228","$5,654","$254,360","$11,975","$61,345",$873,$0,"$44,840","$10,580","$4,550","$6,400","$11,584",$64,"$2,484"
